Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross margin percentage,gross income,Rating,Year,Month,Day,DayOfWeek,Hour,RevenuePerUnit,TotalTaxAmount,IsWeekend,LogQuantity,LogTotal,LogGross income,QuantityUnitPrice
351-62-0822,B,Mandalay,0,0,Fashion accessories,-1.5519033424930297,-0.5060066506221013,-1.0765989964077582,-1.0765989964077585,2,57.92,4.761904762,-1.0765989964077582,-1.4449804834453657,2019,2,6,2,18,57.92,3.0408000000000004,0,1.6094379124341003,4.124162230631283,1.3599503857802886,57.92
529-56-3974,B,Mandalay,0,1,Electronic accessories,-1.1324852408287558,-0.5060066506221013,-0.8816157347777365,-0.8816157347777367,0,102.04,4.761904762,-0.8816157347777365,-0.10472492231692812,2019,3,9,5,17,102.04,5.3571,1,1.6094379124341003,4.683445178326946,1.808616586294478,102.04
365-64-0515,A,Yangon,1,0,Electronic accessories,-0.3172246696880459,-0.16160239872203103,-0.29511916517392445,-0.2951191651739246,2,234.75,4.761904762,-0.29511916517392445,0.07009102043895496,2019,2,12,1,10,234.75,12.324375000000002,0,1.791759469228055,5.511360075682817,2.5445503985488434,234.75
252-56-2699,A,Yangon,1,1,Food and beverages,-0.46019947134331984,1.5604188607783205,0.5761625671551504,0.5761625671551504,2,431.9,4.761904762,0.5761625671551504,0.7110828105438598,2019,2,7,3,16,431.9,22.674750000000003,0,2.3978952727983707,6.119186912456911,3.117728642863243,431.9
829-34-3910,A,Yangon,1,0,Health and beauty,0.6117312889391713,1.5604188607783205,1.821987169455765,1.8219871694557654,0,713.8,4.761904762,1.821987169455765,-0.7457167124218329,2019,3,29,4,19,713.8,37.4745,0,2.3978952727983707,6.620726326534379,3.6025042383671906,713.8
299-46-1805,B,Mandalay,0,0,Sports and travel,1.4612145519654522,0.18280185317803926,1.1525387453461622,1.1525387453461622,0,562.32,4.761904762,1.1525387453461622,-1.4449804834453657,2019,1,15,1,16,562.3199999999999,29.521800000000002,0,1.9459101490553132,6.382553478071639,3.3712878512560116,562.3199999999999
656-95-9349,A,Yangon,0,0,Health and beauty,0.5185695165840066,0.5272061050781095,0.7998276367629337,0.7998276367629336,1,482.51,4.761904762,0.7998276367629337,-1.3867085025267383,2019,3,11,0,11,482.51000000000005,25.331775,0,2.0794415416798357,6.229763670352992,3.22388326667874,482.51000000000005
765-26-6951,A,Yangon,1,1,Sports and travel,0.658502301182785,0.18280185317803926,0.5927794543656874,0.592779454365687,1,435.66,4.761904762,0.5927794543656874,-0.046452941398300085,2019,1,1,1,10,435.65999999999997,22.87215,0,1.9459101490553132,6.127835965538681,3.126014643816913,435.65999999999997
329-62-1586,A,Yangon,1,1,Food and beverages,-0.023670023736260485,-0.8504109025221716,-0.6077464527466294,-0.6077464527466295,1,164.01,4.761904762,-0.6077464527466294,0.9441707342183708,2019,1,21,0,18,164.01,8.610525,0,1.3862943611198906,5.154507617847383,2.219257830404292,164.01
319-50-3348,B,Mandalay,1,0,Home and lifestyle,-0.5700923375092085,-1.1948151544222418,-0.9763673469569675,-0.9763673469569676,2,80.6,4.761904762,-0.9763673469569675,-1.5032524643639933,2019,3,11,0,15,80.6,4.2315,0,1.0986122886681096,4.450035689038101,1.6154199841116479,80.6
300-71-4605,C,Naypyitaw,0,1,Electronic accessories,1.1691809145419145,-0.16160239872203103,0.5686496128312377,0.5686496128312374,2,430.2,4.761904762,0.5686496128312377,-1.2701645406894826,2019,2,25,0,11,430.20000000000005,22.5855,0,1.791759469228055,6.115251743882057,3.113959654918641,430.20000000000005
371-85-5789,B,Mandalay,1,1,Health and beauty,1.2429498281619227,-0.8504109025221716,-0.16611732004744373,-0.1661173200474438,2,263.94,4.761904762,-0.16611732004744373,-1.0953485979335995,2019,3,5,1,10,263.94,13.856850000000001,0,1.3862943611198906,5.628113798057155,2.6530306746814367,263.94
273-16-6619,B,Mandalay,1,1,Home and lifestyle,-0.840071351273156,-1.1948151544222418,-1.0391226124861221,-1.0391226124861224,1,66.4,4.761904762,-1.0391226124861221,-1.5032524643639933,2019,3,15,4,12,66.4,3.486,0,1.0986122886681096,4.258728418329388,1.463255402256019,66.4
636-48-8204,A,Yangon,1,1,Electronic accessories,-0.7883570613127379,-0.16160239872203103,-0.5689000595071032,-0.5689000595071034,2,172.8,4.761904762,-0.5689000595071032,1.7017064861605318,2019,2,17,6,11,172.8,9.072000000000001,1,1.791759469228055,5.2064213518435,2.265921108622454,172.8
549-59-1358,A,Yangon,0,1,Sports and travel,1.2676662167459458,-0.8504109025221716,-0.157499519499426,-0.157499519499426,2,265.89,4.761904762,-0.157499519499426,-0.5709007696659498,2019,3,2,5,17,265.89,13.959225000000002,1,1.3862943611198906,5.6354483147425665,2.6598748478977785,265.89
227-03-5010,A,Yangon,0,0,Home and lifestyle,-0.10276246720513527,0.8716103569781798,0.5267538440131823,0.5267538440131819,1,420.72,4.761904762,0.5267538440131823,0.8858987532997433,2019,3,22,4,19,420.72,22.0878,0,2.1972245773362196,6.093018828236845,3.09267747961047,420.72
649-29-6775,B,Mandalay,1,1,Fashion accessories,-0.8279032830471753,-1.5392194063223121,-1.1844319878803904,-1.1844319878803904,0,33.52,4.761904762,-1.1844319878803904,-0.16299690323555566,2019,2,8,4,15,33.52,1.7598,0,0.6931471805599453,3.5889486154888868,0.9843231422659819,33.52
189-17-4241,A,Yangon,1,0,Fashion accessories,1.2311620120680038,-1.1948151544222418,-0.5576748218701981,-0.5576748218701982,1,175.34,4.761904762,-0.5576748218701981,0.41972290595072165,2019,3,10,6,12,175.34,9.205350000000001,1,1.0986122886681096,5.220934036260394,2.2790093564653398,175.34
145-94-9061,B,Mandalay,1,0,Food and beverages,1.2573994091802747,-0.16160239872203103,0.619914477629702,0.6199144776297019,0,441.8,4.761904762,0.619914477629702,1.5268905434046482,2019,1,25,4,19,441.8,23.1945,0,1.791759469228055,6.141800818463045,3.139399623366404,441.8
848-62-7243,A,Yangon,1,1,Health and beauty,-1.1560608730165935,1.2160146088782502,-0.34258335896146835,-0.34258335896146846,0,224.01,4.761904762,-0.34258335896146835,0.24490696319483857,2019,3,15,4,15,224.01,11.760525000000001,0,2.302585092994046,5.464723356627886,2.501476934505963,224.01
871-79-8483,B,Mandalay,1,1,Fashion accessories,1.4768048893799899,-0.16160239872203103,0.7474137318914001,0.7474137318914003,1,470.65,4.761904762,0.7474137318914001,-1.2701645406894826,2019,2,25,0,19,470.65,24.709125,0,1.791759469228055,6.2049263814890745,3.1999987690985114,470.65
149-71-6266,B,Mandalay,0,1,Sports and travel,0.8661199652885812,1.2160146088782502,1.7726226401627614,1.772622640162761,0,702.63,4.761904762,1.7726226401627614,-1.4449804834453657,2019,1,28,0,12,702.6299999999999,36.888075,0,2.302585092994046,6.6049751354350175,3.58716506104284,702.6299999999999
640-49-2076,B,Mandalay,1,1,Sports and travel,1.0832439326959253,0.8716103569781798,1.6294787633677383,1.6294787633677381,0,670.24,4.761904762,1.6294787633677383,-1.0953485979335995,2019,1,10,3,14,670.24,35.187599999999996,0,2.1972245773362196,6.55784596787597,3.5413070896468004,670.24
595-11-5460,A,Yangon,1,1,Health and beauty,1.569966661735155,-1.1948151544222418,-0.47892138301600534,-0.4789213830160054,1,193.16,4.761904762,-0.47892138301600534,-1.0953485979335995,2019,3,15,4,10,193.16,10.140900000000002,0,1.0986122886681096,5.317227438772677,2.3663107838745905,193.16
183-56-6882,C,Naypyitaw,0,0,Food and beverages,1.6779582672407343,-0.5060066506221013,0.4249312159996803,0.42493121599968026,2,397.68,4.761904762,0.4249312159996803,0.3031789441134661,2019,2,6,2,10,397.68,20.878200000000003,0,1.6094379124341003,6.036829805358039,3.0389833155483057,397.68
232-16-2483,C,Naypyitaw,0,0,Sports and travel,0.4877690938869928,-1.5392194063223121,-1.0315212704642809,-1.031521270464281,2,68.12,4.761904762,-1.0315212704642809,-0.10472492231692812,2019,1,7,0,12,68.12,3.5763,0,0.6931471805599453,4.283945118261254,1.4829672483801515,68.12
129-29-8530,A,Yangon,0,1,Sports and travel,0.27863042125294846,-0.16160239872203103,0.05113964146053155,0.05113964146053146,2,313.1,4.761904762,0.05113964146053155,0.011819039520327436,2019,3,10,6,19,313.09999999999997,16.43775,1,1.791759469228055,5.798349954484741,2.812710471645643,313.09999999999997
272-65-1806,A,Yangon,1,0,Electronic accessories,0.21246655027417838,1.2160146088782502,1.0888996028377236,1.0888996028377236,2,547.92,4.761904762,1.0888996028377236,-1.3284365216081102,2019,1,15,1,17,547.9200000000001,28.765800000000002,0,2.302585092994046,6.356656121374943,3.3462482901771393,547.9200000000001
333-73-7901,C,Naypyitaw,1,0,Health and beauty,-0.014163720434713029,0.8716103569781798,0.6091311784824388,0.6091311784824386,2,439.36,4.761904762,0.6091311784824388,0.3614509250320936,2019,3,23,5,13,439.36,23.0664,1,2.1972245773362196,6.136274595891649,3.134101942818763,439.36
777-82-7220,B,Mandalay,0,1,Home and lifestyle,-0.9571890079482208,0.8716103569781798,-0.26767478496716035,-0.26767478496716046,0,240.96,4.761904762,-0.26767478496716035,0.41972290595072165,2019,3,3,6,13,240.96,12.650400000000001,1,2.1972245773362196,5.537365762585538,2.5686348653187125,240.96
280-35-5823,B,Mandalay,0,0,Home and lifestyle,1.1950380595221233,-1.5392194063223121,-0.9493207113908809,-0.9493207113908813,2,86.72,4.761904762,-0.9493207113908809,0.5362668677879772,2019,1,17,3,18,86.72,4.5528,0,0.6931471805599453,4.522397087521157,1.6744763086133228,86.72
554-53-8700,C,Naypyitaw,0,1,Home and lifestyle,0.031086283280652778,-1.1948151544222418,-0.8366263965321876,-0.8366263965321876,0,112.22,4.761904762,-0.8366263965321876,-0.39608482691006675,2019,2,2,5,10,112.22,5.8915500000000005,1,1.0986122886681096,4.777702315649846,1.888734928351441,112.22
354-25-5821,B,Mandalay,0,0,Sports and travel,0.5257943070931826,0.18280185317803926,0.500237534634666,0.500237534634666,0,414.72,4.761904762,0.500237534634666,-0.803988693340461,2019,2,8,4,13,414.72,21.772800000000004,0,1.9459101490553132,6.07868756836605,3.0789698721240466,414.72
228-96-1411,C,Naypyitaw,0,0,Food and beverages,1.6505801137322775,0.8716103569781798,2.1569765446043516,2.156976544604352,0,789.6,4.761904762,2.1569765446043516,0.3614509250320936,2019,3,4,0,20,789.6,41.45400000000001,0,2.1972245773362196,6.721522081688025,3.70080802497921,789.6
617-15-4209,C,Naypyitaw,0,1,Health and beauty,-1.5180609027395209,-1.1948151544222418,-1.196717877892436,-1.1967178778924366,0,30.74,4.761904762,-1.196717877892436,0.128363001357583,2019,3,16,5,19,30.74,1.6138500000000002,1,1.0986122886681096,3.5048664676590033,0.9309822806171448,30.74
132-32-9879,B,Mandalay,0,0,Electronic accessories,1.4703406031349375,-0.5060066506221013,0.3284118498618818,0.32841184986188154,0,375.84,4.761904762,0.3284118498618818,1.4686185624860206,2019,3,9,5,18,375.84,19.7316,1,1.6094379124341003,5.980484486264819,2.9852778156501323,375.84
370-41-7321,B,Mandalay,0,1,Health and beauty,0.053140906940242816,1.2160146088782502,0.9222445983937498,0.9222445983937497,1,510.21,4.761904762,0.9222445983937498,0.8276267723811158,2019,2,27,2,17,510.21,26.786025000000002,0,2.302585092994046,6.285477474838638,3.277540880930314,510.21
727-46-3608,B,Mandalay,0,0,Food and beverages,-1.3416239134628,1.2160146088782502,-0.5366827436122062,-0.5366827436122064,2,180.09,4.761904762,-0.5366827436122062,-1.6780684071198768,2019,2,6,2,15,180.09,9.454725000000002,0,2.302585092994046,5.247521316934862,2.3030349917744104,180.09
669-54-1719,B,Mandalay,0,1,Electronic accessories,-1.382691143725485,0.18280185317803926,-0.8306160330730572,-0.8306160330730573,1,113.58,4.761904762,-0.8306160330730572,0.6528108296252323,2019,2,10,6,12,113.58,5.96295,1,1.9459101490553132,4.789647750260037,1.898968275743499,113.58
574-22-5561,C,Naypyitaw,0,0,Fashion accessories,1.0395149375088069,1.5604188607783205,2.3191679703029418,2.319167970302942,2,826.3,4.761904762,2.3191679703029418,0.5362668677879772,2019,3,19,1,17,826.3,43.380750000000006,0,2.3978952727983707,6.766899989120389,3.7451416331220693,826.3
326-78-5178,C,Naypyitaw,0,1,Food and beverages,1.372996057327092,0.5272061050781095,1.4949526871207335,1.4949526871207333,0,639.8,4.761904762,1.4949526871207335,1.4686185624860206,2019,2,3,6,10,639.8000000000001,33.5895,1,2.0794415416798357,6.511433245290252,3.49620448524049,639.8000000000001
162-48-8011,A,Yangon,0,0,Food and beverages,-0.40696417285465386,-0.16160239872203103,-0.34726790695167276,-0.347267906951673,0,222.95,4.761904762,-0.34726790695167276,0.8858987532997433,2019,2,10,6,15,222.95000000000002,11.704875000000001,1,1.791759469228055,5.460000321716622,2.497123387297921,222.95000000000002
616-24-2851,B,Mandalay,0,0,Fashion accessories,-1.4229978697240462,-0.5060066506221013,-1.016672137212312,-1.016672137212312,2,71.48,4.761904762,-1.016672137212312,-0.27954086507281123,2019,3,22,4,14,71.48,3.7527000000000004,0,1.6094379124341003,4.331443614297803,1.5203880956005893,71.48
778-71-5554,C,Naypyitaw,0,1,Fashion accessories,-1.5157793899471494,-1.5392194063223121,-1.2643786606566165,-1.2643786606566165,1,15.43,4.761904762,-1.2643786606566165,-0.5126287887473223,2019,1,25,4,15,15.43,0.810075,0,0.6931471805599453,2.844996589319223,0.5718266453233896,15.43
242-55-6721,B,Mandalay,1,1,Home and lifestyle,-1.4880209843066305,-1.1948151544222418,-1.1897352497560936,-1.189735249756094,2,32.32,4.761904762,-1.1897352497560936,-0.27954086507281123,2019,3,7,3,11,32.32,1.6968,0,1.0986122886681096,3.55351781618326,0.9616464335949523,32.32
399-46-5918,C,Naypyitaw,1,0,Electronic accessories,1.166899401749543,0.8716103569781798,1.707259937544719,1.7072599375447188,0,687.84,4.761904762,1.707259937544719,0.7110828105438598,2019,2,28,3,19,687.84,36.1116,0,2.1972245773362196,6.583730055886673,3.5664858058998696,687.84
106-35-6779,A,Yangon,0,1,Home and lifestyle,-0.4164704761562013,-1.1948151544222418,-0.9406587169938991,-0.9406587169938991,0,88.68,4.761904762,-0.9406587169938991,-0.6874447315032054,2019,3,27,2,11,88.68,4.6557,0,1.0986122886681096,4.544506813420856,1.692675511004156,88.68
635-40-6220,A,Yangon,1,1,Health and beauty,1.30455067355595,0.8716103569781798,1.8352453241450235,1.8352453241450233,2,716.8,4.761904762,1.8352453241450235,-0.2212688841541837,2019,2,7,3,11,716.8,37.632,0,2.1972245773362196,6.6249148004098,3.6065842113871063,716.8
817-48-8732,A,Yangon,0,0,Home and lifestyle,0.6486157457491754,1.5604188607783205,1.8648552029510326,1.8648552029510328,0,723.5,4.761904762,1.8648552029510326,-0.920532655177716,2019,1,20,6,15,723.5,37.98375,1,2.3978952727983707,6.634206196996269,3.6156364923462188,723.5
120-06-4233,C,Naypyitaw,1,1,Electronic accessories,-0.9385566534771879,0.18280185317803926,-0.5209055395319891,-0.5209055395319894,0,183.66,4.761904762,-0.5209055395319891,1.3520746006487656,2019,3,12,1,20,183.66,9.64215,0,1.9459101490553132,5.267048553070307,2.320719663189528,183.66
285-68-5083,C,Naypyitaw,0,0,Sports and travel,-1.1617646549975222,-0.8504109025221716,-1.0045630225961228,-1.004563022596123,1,74.22,4.761904762,-1.0045630225961228,1.7599784670791592,2019,2,15,4,17,74.22,3.89655,0,1.3862943611198906,4.368574053094001,1.549900199717904,74.22
803-83-5989,C,Naypyitaw,1,1,Home and lifestyle,0.016636702262300546,0.18280185317803926,0.14518415205633547,0.14518415205633523,2,334.38,4.761904762,0.14518415205633547,0.011819039520327436,2019,2,24,6,10,334.38,17.55495,1,1.9459101490553132,5.86391238605473,2.8746375101759325,334.38
347-34-2234,B,Mandalay,0,0,Sports and travel,-0.008459938453784609,1.2160146088782502,0.8578099666039558,0.8578099666039558,2,495.63,4.761904762,0.8578099666039558,1.7599784670791592,2019,2,3,6,13,495.63,26.020575000000004,1,2.302585092994046,6.25653955725924,3.249657180457636,495.63
199-75-8169,A,Yangon,0,1,Sports and travel,-1.5013298089287972,1.5604188607783205,-0.6338650174844677,-0.6338650174844679,1,158.1,4.761904762,-0.6338650174844677,0.9441707342183708,2019,3,6,2,12,158.1,8.30025,0,2.3978952727983707,5.118023752088319,2.186612916741625,158.1
853-23-2453,B,Mandalay,0,1,Health and beauty,0.7775212185181589,-0.5060066506221013,0.0063270786108393625,0.00632707861083928,0,302.96,4.761904762,0.0063270786108393625,0.3614509250320936,2019,2,14,3,14,302.96,15.9054,0,1.6094379124341003,5.76552960348075,2.7817962029906944,302.96
877-22-3308,A,Yangon,0,1,Health and beauty,-1.499048296136426,1.5604188607783205,-0.6312133865466162,-0.6312133865466163,0,158.7,4.761904762,-0.6312133865466162,-0.6874447315032054,2019,3,13,2,16,158.7,8.33175,0,2.3978952727983707,5.1217889967948445,2.1899761486113913,158.7
838-78-4295,C,Naypyitaw,1,0,Health and beauty,-0.8298045437074849,-1.1948151544222418,-1.0367361446420558,-1.0367361446420558,2,66.94,4.761904762,-1.0367361446420558,-0.16299690323555566,2019,2,10,6,15,66.94,3.5143500000000003,1,1.0986122886681096,4.266713982605702,1.469485952006655,66.94
109-28-2512,B,Mandalay,0,0,Fashion accessories,1.6091326313375307,0.18280185317803926,1.2556871888285899,1.2556871888285897,2,585.66,4.761904762,1.2556871888285899,1.7017064861605318,2019,1,7,0,15,585.66,30.74715,0,1.9459101490553132,6.423154426784595,3.410586498958841,585.66
232-11-3025,A,Yangon,1,1,Sports and travel,0.8927376145329141,1.5604188607783205,2.148579713301155,2.1485797133011553,0,787.7,4.761904762,2.148579713301155,-0.33781284599143874,2019,1,24,3,10,787.6999999999999,41.35425000000001,0,2.3978952727983707,6.719115806121221,3.6984584288942597,787.6999999999999
382-03-4532,A,Yangon,0,0,Health and beauty,-1.4055062716491988,-1.5392194063223121,-1.2515624444570004,-1.2515624444570004,0,18.33,4.761904762,-1.2515624444570004,-1.5615244452826214,2019,2,2,5,18,18.33,0.9623250000000001,1,0.6931471805599453,3.0079819391079066,0.6505006058384727,18.33
393-65-2792,C,Naypyitaw,1,1,Food and beverages,1.2999876479712076,1.5604188607783205,2.621895835707668,2.621895835707668,1,894.8,4.761904762,2.621895835707668,1.5268905434046482,2019,1,6,6,12,894.8000000000001,46.977000000000004,1,2.3978952727983707,6.846454178405533,3.822973188594635,894.8000000000001
796-12-2025,C,Naypyitaw,1,1,Fashion accessories,0.25961781464985356,1.5604188607783205,1.4127521280473334,1.4127521280473334,0,621.2,4.761904762,1.4127521280473334,-0.6291727505845773,2019,2,11,0,16,621.1999999999999,32.613,0,2.3978952727983707,6.481975212358564,3.467609147181407,621.1999999999999
510-95-6347,B,Mandalay,0,0,Food and beverages,-0.25752508495432785,-0.8504109025221716,-0.6892841040855664,-0.6892841040855666,2,145.56,4.761904762,-0.6892841040855664,-1.7363403880385044,2019,3,5,1,18,145.56,7.6419,0,1.3862943611198906,5.035900100675996,2.1136013933265407,145.56
841-35-6630,C,Naypyitaw,1,0,Electronic accessories,0.7839855047632113,0.18280185317803926,0.6802832753147903,0.6802832753147903,0,455.46,4.761904762,0.6802832753147903,1.0024427151369983,2019,3,9,5,18,455.46,23.91165,1,1.9459101490553132,6.172186909204794,3.1685504829161357,455.46
287-21-9091,A,Yangon,1,1,Home and lifestyle,0.7368342403875361,1.2160146088782502,1.637389462332329,1.6373894623323288,2,672.03,4.761904762,1.637389462332329,1.410346581567393,2019,1,22,1,10,672.03,35.281575,0,2.302585092994046,6.560509313608729,3.5438970337251376,672.03
732-94-0499,C,Naypyitaw,1,0,Electronic accessories,-0.5187582996808522,1.5604188607783205,0.5081040397502924,0.5081040397502923,1,416.5,4.761904762,0.5081040397502924,-0.920532655177716,2019,1,13,6,17,416.5,21.86625,1,2.3978952727983707,6.082960644356192,3.0830561017256657,416.5
263-10-3913,C,Naypyitaw,0,1,Fashion accessories,-0.2377519740871093,1.2160146088782502,0.6179699482752776,0.6179699482752774,1,441.36,4.761904762,0.6179699482752776,0.9441707342183708,2019,1,9,2,14,441.36,23.171400000000002,0,2.302585092994046,6.140806540857186,3.1384463757531664,441.36
381-20-0914,A,Yangon,0,0,Fashion accessories,-1.3416239134628,1.2160146088782502,-0.5366827436122062,-0.5366827436122064,1,180.09,4.761904762,-0.5366827436122062,-0.7457167124218329,2019,1,12,5,15,180.09,9.454725000000002,1,2.302585092994046,5.247521316934862,2.3030349917744104,180.09
829-49-1914,C,Naypyitaw,0,0,Food and beverages,0.8752460164580671,1.5604188607783205,2.1282505427776264,2.1282505427776264,2,783.1,4.761904762,2.1282505427776264,-0.2212688841541837,2019,3,5,1,16,783.1,41.112750000000005,0,2.3978952727983707,6.71326599472725,3.6927469656404255,783.1
756-01-7507,C,Naypyitaw,1,0,Health and beauty,-1.3275545845765095,-0.16160239872203103,-0.8822344486632352,-0.8822344486632354,0,101.9,4.761904762,-0.8822344486632352,-0.5709007696659498,2019,1,22,1,18,101.89999999999999,5.34975,0,1.791759469228055,4.682084929756217,1.8074687629332349,101.89999999999999
870-72-4431,C,Naypyitaw,1,0,Health and beauty,1.6692124682033105,0.18280185317803926,1.2975829576466453,1.2975829576466453,1,595.14,4.761904762,1.2975829576466453,-0.8622606742590885,2019,1,21,0,14,595.14,31.244850000000003,0,1.9459101490553132,6.43918582082123,3.426117610622378,595.14
847-38-7188,B,Mandalay,1,0,Food and beverages,1.5737691830557743,-0.8504109025221716,-0.05077137425089856,-0.05077137425089886,2,290.04,4.761904762,-0.05077137425089856,-0.33781284599143874,2019,1,26,5,19,290.04,15.2271,1,1.3862943611198906,5.7220872487039385,2.74096904785932,290.04
480-63-2856,C,Naypyitaw,1,1,Food and beverages,-1.3705230754995041,0.8716103569781798,-0.6519844955597871,-0.6519844955597872,2,154.0,4.761904762,-0.6519844955597871,-0.2212688841541837,2019,1,23,2,18,154.0,8.084999999999999,0,2.1972245773362196,5.091908014224992,2.1633230256605382,154.0
787-56-0757,C,Naypyitaw,0,0,Food and beverages,0.9531977035307561,-0.5060066506221013,0.08799731149666891,0.08799731149666887,1,321.44,4.761904762,0.08799731149666891,0.7693547914624883,2019,2,23,5,18,321.44,16.875600000000002,1,1.6094379124341003,5.824559542240961,2.8374396945593974,321.44
360-39-5055,C,Naypyitaw,0,1,Sports and travel,-0.24269525180391407,-0.16160239872203103,-0.25180919318901496,-0.2518091931890151,0,244.55,4.761904762,-0.25180919318901496,-0.2212688841541837,2019,3,9,5,10,244.54999999999998,12.838875,1,1.791759469228055,5.552096809737349,2.5822979957961496,244.54999999999998
730-50-9884,C,Naypyitaw,1,0,Sports and travel,1.0558657791874688,0.5272061050781095,1.2369489968677718,1.2369489968677716,2,581.42,4.761904762,1.2369489968677718,-1.7363403880385044,2019,3,5,1,14,581.4200000000001,30.52455,0,2.0794415416798357,6.415900237112131,3.4035612521840926,581.4200000000001
362-58-8315,C,Naypyitaw,1,1,Fashion accessories,0.807180884818987,-0.16160239872203103,0.3582868917616764,0.35828689176167644,0,382.6,4.761904762,0.3582868917616764,1.7017064861605318,2019,3,25,0,10,382.59999999999997,20.0865,0,1.791759469228055,5.99826636222691,3.0022112396517002,382.59999999999997
633-44-8566,A,Yangon,0,1,Food and beverages,-0.22482340159700465,0.5272061050781095,0.19503481368794576,0.19503481368794548,1,345.66,4.761904762,0.19503481368794576,0.1866349822762105,2019,3,27,2,20,345.66,18.14715,0,2.0794415416798357,5.89699726196812,2.905971666346368,345.66
504-35-8843,A,Yangon,1,1,Sports and travel,-0.48757762485177647,-1.5392194063223121,-1.1448784930574372,-1.1448784930574374,0,42.47,4.761904762,-1.1448784930574372,-0.7457167124218329,2019,1,2,2,16,42.47,2.229675,0,0.6931471805599453,3.81976516250035,1.1389541679514874,42.47
318-68-5053,B,Mandalay,1,0,Health and beauty,0.8250527350258962,0.18280185317803926,0.7089208894435879,0.7089208894435876,0,461.94,4.761904762,0.7089208894435879,-0.5126287887473223,2019,2,27,2,17,461.93999999999994,24.25185,0,1.9459101490553132,6.1862847526898666,3.182087351420365,461.93999999999994
565-80-5980,C,Naypyitaw,0,0,Home and lifestyle,-0.3008738280093843,-0.5060066506221013,-0.49500794403897164,-0.49500794403897186,0,189.52,4.761904762,-0.49500794403897164,0.07009102043895496,2019,1,23,2,10,189.52,9.949800000000002,0,1.6094379124341003,5.298297366348034,2.3490869266454655,189.52
